SeqNo,Date,UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1,Cycle_Time, TCP_T_2,Averge_CT,Label
1,8/14/2022,45:00.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.86E-02,8.01E-02,-3.88E-02,-1.88E+00,6.34E-01,-2.35E-01,2.37E+00,1.48E+00,-1.60E+00,2.38E-02,-3.78E-02,3.32E-03,-2.88E-01,2.91E-03,Normal
2,8/14/2022,45:00.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.08E-02,8.36E-02,-5.59E-02,-1.85E+00,6.54E-01,-2.97E-01,2.18E+00,1.32E+00,-1.54E+00,2.60E-02,-3.66E-02,2.69E-03,-2.81E-01,2.91E-03,Normal
3,8/14/2022,45:01.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.50E-02,1.05E-01,-6.79E-02,-1.82E+00,7.00E-01,-2.68E-01,2.41E+00,1.29E+00,-1.68E+00,3.02E-02,-3.93E-02,2.85E-03,-2.86E-01,2.91E-03,Normal
4,8/14/2022,45:01.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-7.49E-02,1.20E-01,-5.64E-02,-1.83E+00,6.23E-01,-2.39E-01,2.43E+00,1.20E+00,-1.35E+00,3.24E-02,-3.08E-02,3.28E-03,-2.80E-01,2.91E-03,Normal
5,8/14/2022,45:02.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-3.82E-02,1.01E-01,-5.81E-02,-1.79E+00,6.28E-01,-3.03E-01,2.44E+00,1.37E+00,-1.54E+00,2.75E-02,-3.38E-02,2.37E-03,-2.86E-01,2.91E-03,Normal
6,8/14/2022,45:02.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-4.22E-02,7.90E-02,-5.20E-02,-1.75E+00,6.23E-01,-2.60E-01,2.44E+00,1.60E+00,-1.88E+00,2.15E-02,-4.39E-02,2.93E-03,-2.92E-01,2.91E-03,Normal
7,8/14/2022,45:03.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.43E-02,9.70E-02,-7.40E-02,-1.74E+00,6.23E-01,-2.64E-01,2.39E+00,1.40E+00,-1.61E+00,2.87E-02,-4.16E-02,3.69E-03,-2.81E-01,2.91E-03,Normal
8,8/14/2022,45:03.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.97E-02,1.07E-01,-6.02E-02,-1.78E+00,6.60E-01,-1.92E-01,2.30E+00,1.32E+00,-1.44E+00,2.94E-02,-3.53E-02,3.20E-03,-2.81E-01,2.91E-03,Normal
9,8/14/2022,45:04.3,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-5.40E-02,9.85E-02,-3.78E-02,-1.82E+00,6.44E-01,-2.38E-01,2.54E+00,1.68E+00,-1.85E+00,2.29E-02,-4.26E-02,2.40E-03,-2.91E-01,2.91E-03,Normal
10,8/14/2022,45:04.8,1,1,1.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E+00,-1.57E+00,-1.36E+00,2.10E+00,-2.34E+00,-1.57E+00,-6.27E-02,8.32E-02,-7.42E-02,-1.81E+00,6.80E-01,-2.51E-01,2.48E+00,1.44E+00,-1.49E+00,2.58E-02,-3.51E-02,2.35E-03,-2.88E-01,2.91E-03,Normal
